Timestamp,Gender,Age,Family size(range),Father's education,Mother's education,Father's employment,Mother's employment,Travel time to university,hobby,Have any free time activities?,Go out with family?,Health,Absences in the last semester ,Inter Board,higher education,Plan to work after studies.,Any Addiction?,% scored in last semester's midterm?,% scored in quizzes last semester?,% scored in sessional marks last semester ?,Did you clear the course ( grade) ? or failed?
2019/02/24 9:04:16 pm GMT+5,Female,22,5,Well educated,Well educated,unemployed,Housewife,more than 30 mins.,reading novels/comics,Yes,often.,Healthy,none,Sindh,"Yes, i want to study more.",No.,No,40,40,40,B
2019/02/24 9:57:38 pm GMT+5,Male,23,10,Uneducated,uneducated,unemployed,Housewife,30 mins or less.,reading novels/comics,Yes,"yes, a lot.",Healthy,none,Sindh,"Yes, i want to study more.",Yes.,Yes,50,50,50,A
2019/02/25 1:26:12 am GMT+5,Male,22,5,Well educated,Well educated,Employed,Housewife,30 mins or less.,Sports,Maybe,often.,Healthy,Minimum,Federal,"Yes, i want to study more.",Yes.,No,76,76,76,B
2019/02/25 10:36:02 am GMT+5,Female,21,5,Well educated,Well educated,Employed,Housewife,30 mins or less.,Sports,Maybe,often.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,50,50,50,B
2019/02/25 10:51:24 am GMT+5,Female,20,10,Well educated,Well educated,Employed,Housewife,30 mins or less.,reading novels/comics,No,Not at all.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,75,75,75,A
2019/02/25 10:52:52 am GMT+5,Female,18,10,Well educated,Well educated,Employed,Employed,30 mins or less.,Sports,Maybe,often.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,Yes,76,76,76,B
2019/02/25 10:53:58 am GMT+5,Male,18,5,Well educated,Well educated,Employed,Housewife,more than 30 mins.,Sports,Maybe,often.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,52,52,52,B
2019/02/25 11:02:01 am GMT+5,Male,18,5,Well educated,Highschool,Employed,Housewife,30 mins or less.,Gaming,Maybe,"yes, a lot.",Healthy,Maximum Allowed.,any international board,"Nope, not really.",No.,Yes,77,77,77,"I failed, sadly."
2019/02/25 11:10:03 am GMT+5,Male,24,5,Well educated,Well educated,Employed,Housewife,more than 30 mins.,Art,Yes,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,Yes,86,86,86,A
2019/02/25 12:15:07 pm GMT+5,Male,18,5,Well educated,Well educated,Employed,Housewife,30 mins or less.,Sports,Yes,"yes, a lot.",Healthy,none,Sindh,"Yes, i want to study more.",Yes.,Yes,66,66,66,A
2019/02/25 1:25:43 pm GMT+5,Female,18,10,Well educated,Well educated,Employed,Housewife,more than 30 mins.,Art,Yes,often.,Healthy,none,Sindh,"Yes, i want to study more.",Yes.,No,79,79,79,A
2019/02/25 1:30:56 pm GMT+5,Female,18,5,Well educated,Highschool,Employed,Housewife,30 mins or less.,Gaming,Yes,Not at all.,not well most of the time.,Maximum Allowed.,Sindh,"Yes, i want to study more.",Yes.,No,70,70,70,C
2019/02/25 7:16:11 pm GMT+5,Female,18,5,Well educated,Well educated,Employed,Housewife,30 mins or less.,Sports,Yes,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,79,79,79,B
2019/02/25 9:57:36 pm GMT+5,Male,18,5,Well educated,Highschool,Employed,Housewife,more than 30 mins.,reading novels/comics,Yes,Not at all.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,76,76,76,A
2019/02/26 2:34:28 pm GMT+5,Male,18,more than 10.,Highschool,uneducated,Employed,Housewife,30 mins or less.,Sports,Maybe,Not at all.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,Yes,50,50,50,B
2019/02/26 3:46:57 pm GMT+5,Male,18,more than 10.,Highschool,uneducated,Employed,Housewife,30 mins or less.,Sports,Maybe,Not at all.,Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,Yes,55,55,55,B
2019/03/14 7:11:19 pm GMT+5,Female,18,5,Well educated,Well educated,Employed,Housewife,more than 30 mins.,Art,Yes,"yes, a lot.",Healthy,Minimum,Sindh,"Yes, i want to study more.",Yes.,No,80,80,80,B
